,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
f(x) = x^10-1,,,,,,,,,,f(x) = x^2-4,,,,,
x0,x1,xi,f(x0),f(x1),Solution,,,,,x0,x1,xi,f(x0),f(x1),Solution
0,2,1.800195313,-1,1023,n/a,,,,,0,3,2.166666667,-4,5,n/a
2,1.800195313,1.620679425,1023,356.4343324,n/a,,,,,3,2.166666667,2.006410256,5,0.6944444444,n/a
1.800195313,1.620679425,1.459907843,356.4343324,124.0176083,n/a,,,,,2.166666667,2.006410256,2.00001024,0.6944444444,0.02568211703,n/a
1.620679425,1.459907843,1.317236546,124.0176083,42.97991829,n/a,,,,,2.006410256,2.00001024,2,0.02568211703,0.00004096020972,n/a
1.459907843,1.317236546,1.193888687,42.97991829,14.72670412,n/a,,,,,2.00001024,2,2,0.00004096020972,0.0000000001048565679,n/a
1.317236546,1.193888687,1.094791847,14.72670412,4.883535385,n/a,,,,,2,2,2,0.0000000001048565679,0,solution
1.193888687,1.094791847,1.029573131,4.883535385,1.473520678,n/a,,,,,2,2,-253.75,1023,1023,n/a
1.094791847,1.029573131,1.003543952,1.473520678,0.338357084,n/a,,,,,2,-253.75,2.18084E+21,1023,1.10678E+24,n/a
1.029573131,1.003543952,1.000055791,0.338357084,0.03601007621,n/a,,,,,-253.75,2.18084E+21,-5.57943E+191,1.10678E+24,2.43357E+213,n/a
1.003543952,1.000055791,1.000000014,0.03601007621,0.0005580550174,n/a,,,,,2.18084E+21,-5.57943E+191,#NUM!,2.43357E+213,#NUM!,#NUM!
1.000055791,1.000000014,1,0.0005580550174,0.0000001400424376,n/a,,,,,-5.57943E+191,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
1.000000014,1,1,0.0000001400424376,0,solution,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
1,1,1,0,0,solution,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
1,1,1,0,0,solution,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
,,,,,,,,,,,,,,,
f(x) = x^3+x+1,,,,,,,,,,,,,,,
x0,x1,xi,f(x0),f(x1),Solution,,,,,,,,,,
0,2,1.153846154,1,11,n/a,,,,,,,,,,
2,1.153846154,0.4149653664,11,3.690031862,n/a,,,,,,,,,,
1.153846154,0.4149653664,-0.5651426774,3.690031862,1.486420849,n/a,,,,,,,,,,
0.4149653664,-0.5651426774,-0.6950394624,1.486420849,0.2543585245,n/a,,,,,,,,,,
-0.5651426774,-0.6950394624,-0.6824645289,0.2543585245,-0.03079902463,n/a,,,,,,,,,,
-0.6950394624,-0.6824645289,-0.6823278198,-0.03079902463,-0.0003277291254,n/a,,,,,,,,,,
-0.6824645289,-0.6823278198,-0.6823278038,-0.0003277291254,-0.00000003826196293,n/a,,,,,,,,,,
-0.6823278198,-0.6823278038,-0.6823278038,-0.00000003826196293,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
-0.6823278038,-0.6823278038,-0.6823278038,0,0,solution,,,,,,,,,,
,,,,,,,,,,,,,,,
f(x) = x^3+x-1,,,,,,,,,,,,,,,
