,,,f(xl),f(xu),f(xr),Solution,Bisection Method,xl,xu,xi,f(xl),f(xu),f(xr),Solution,Bisection Method,,xl,xu,xi,f(xl),f(xu),f(xr),Solution,Bisection Method
0,3,,-1,59048,-1,n/a,X^10-1=0,-3,3,0,-29,31,1,n/a,X^10-1=0,,-3,3,0,-31,29,-1,n/a,X^10-1=0
,,,-1,-1,-1,n/a,,-3,0,-1.5,-29,1,-3.875,n/a,,,0,3,1.5,-1,29,3.875,n/a,
,,0,-1,-1,-1,n/a,,-1.5,0,-0.75,-3.875,1,-0.171875,n/a,,,0,1.5,0.75,-1,3.875,0.171875,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,0,-0.375,-0.171875,1,0.572265625,n/a,,,0,0.75,0.375,-1,0.171875,-0.572265625,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.375,-0.5625,-0.171875,0.572265625,0.2595214844,n/a,,,0.375,0.75,0.5625,-0.572265625,0.171875,-0.2595214844,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.5625,-0.65625,-0.171875,0.2595214844,0.06112670898,n/a,,,0.5625,0.75,0.65625,-0.2595214844,0.171875,-0.06112670898,n/a,
0,0,0,-1,-1,-1,n/a,,-0.75,-0.65625,-0.703125,-0.171875,0.06112670898,-0.05073928833,n/a,,,0.65625,0.75,0.703125,-0.06112670898,0.171875,0.05073928833,n/a,
0,0,0,-1,-1,-1,n/a,,-0.703125,-0.65625,-0.6796875,-0.05073928833,0.06112670898,0.006313800812,n/a,,,0.65625,0.703125,0.6796875,-0.06112670898,0.05073928833,-0.006313800812,n/a,
0,0,0,-1,-1,-1,n/a,,-0.703125,-0.6796875,-0.69140625,-0.05073928833,0.006313800812,-0.02192789316,n/a,,,0.6796875,0.703125,0.69140625,-0.006313800812,0.05073928833,0.02192789316,n/a,
0,0,0,-1,-1,-1,n/a,,-0.69140625,-0.6796875,-0.685546875,-0.02192789316,0.006313800812,-0.007736437023,n/a,,,0.6796875,0.69140625,0.685546875,-0.006313800812,0.02192789316,0.007736437023,n/a,
0,0,0,-1,-1,-1,n/a,,-0.685546875,-0.6796875,-0.6826171875,-0.007736437023,0.006313800812,-0.0006937412545,n/a,,,0.6796875,0.685546875,0.6826171875,-0.006313800812,0.007736437023,0.0006937412545,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6796875,-0.6811523438,-0.0006937412545,0.006313800812,0.002814414562,n/a,,,0.6796875,0.6826171875,0.6811523438,-0.006313800812,0.0006937412545,-0.002814414562,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6811523438,-0.6818847656,-0.0006937412545,0.002814414562,0.001061434028,n/a,,,0.6811523438,0.6826171875,0.6818847656,-0.002814414562,0.0006937412545,-0.001061434028,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6818847656,-0.6822509766,-0.0006937412545,0.001061434028,0.0001841208777,n/a,,,0.6818847656,0.6826171875,0.6822509766,-0.001061434028,0.0006937412545,-0.0001841208777,n/a,
0,0,0,-1,-1,-1,n/a,,-0.6826171875,-0.6822509766,-0.682434082,-0.0006937412545,0.0001841208777,-0.0002547415472,n/a,,,0.6822509766,0.6826171875,0.682434082,-0.0001841208777,0.0006937412545,0.0002547415472,n/a,
0,0,0,-1,-1,-1,n/a,,-0.682434082,-0.6822509766,-0.6823425293,-0.0002547415472,0.0001841208777,-0.00003529317675,Solution,,,0.6822509766,0.682434082,0.6823425293,-0.0001841208777,0.0002547415472,0.00003529317675,Solution,
0,0,0,-1,-1,-1,n/a,,-0.6823425293,-0.6822509766,-0.6822967529,-0.00003529317675,0.0001841208777,0.00007441813971,Solution,,,0.6822509766,0.6823425293,0.6822967529,-0.0001841208777,0.00003529317675,-0.00007441813971,Solution,
0,0,0,-1,-1,-1,n/a,,-0.6823425293,-0.6822967529,-0.6823196411,-0.00003529317675,0.00007441813971,0.00001956355382,Solution,,,0.6822967529,0.6823425293,0.6823196411,-0.00007441813971,0.00003529317675,-0.00001956355382,Solution,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position,xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position,,xl,xu,xr,f(xl),f(xu),f(xr),Solution,False Position
0.98,1.05,0.9957730468,-0.1829271931,0.6288946268,-0.0414745076,N/a,X^10-1=0,0.98,1.05,0.266103766,2.921192,3.207625,1.284946897,N/a,X^3+X+1=0,,0.98,1.05,0.7548742638,0.921192,1.207625,0.1850281562,N/a,X^3+X-1=0
0.9957730468,1.05,0.9991279688,-0.0414745076,0.6288946268,-0.008686171809,N/a,,0.266103766,1.05,-0.2577826982,1.284946897,3.207625,0.7250871467,N/a,,,0.7548742638,1.05,0.7014743622,0.1850281562,1.207625,0.04664624268,N/a,
0.9991279688,1.05,0.9998210311,-0.008686171809,0.6288946268,-0.001788248606,N/a,,-0.2577826982,1.05,-0.6397532788,0.7250871467,3.207625,0.09840577538,N/a,,,0.7014743622,1.05,0.6874711676,0.04664624268,1.207625,0.01238145769,N/a,
0.9998210311,1.05,0.9999633093,-0.001788248606,0.6288946268,-0.000366845945,N/a,,-0.6397532788,1.05,-0.6932334195,0.09840577538,3.207625,-0.0263823882,N/a,,,0.6874711676,1.05,0.6837157527,0.01238145769,1.207625,0.003330462017,N/a,
0.9999633093,1.05,0.9999924797,-0.000366845945,0.6288946268,-0.00007520079645,N/a,,-0.6397532788,-0.6932334195,-0.6819267876,0.09840577538,-0.0263823882,0.0009607920325,N/a,,,0.6837157527,1.05,0.682702798,0.003330462017,1.207625,0.0008990416067,N/a,
0.9999924797,1.05,0.9999984587,-0.00007520079645,0.6288946268,-0.00001541331782,N/a,,-0.6819267876,-0.6932334195,-0.6823240831,0.0009607920325,-0.0263823882,0.000008917610204,N/a,,,0.682702798,1.05,0.6824291522,0.0008990416067,1.207625,0.0002429241429,N/a,
